izvor,sekcija,kljuc,sr,en,ru,hr,hu
"interfejs","oNama","oNama.faza7_opis","Zajednica kroz uzajamnost sama nosi funkcije koje su institucije pokušavale da ispune — socijalnu sigurnost, zdravlje i negu, obrazovanje, proizvodnju hrane, uzajamno finansiranje i zajedničko odlučivanje — i ispunjava ih potpunije. Fondacija više nije centar sistema.","Through mutuality, the community itself carries the functions institutions tried to fulfil — social security, health and care, education, food production, mutual financing and collective decision-making — and fulfils them more completely. The Foundation is no longer the centre of the system.","Сообщество через взаимность само несёт функции, которые пытались исполнять институты — социальную защиту, здоровье и уход, образование, производство продовольствия, взаимное финансирование и совместное принятие решений — и исполняет их полнее. Фонд больше не является центром системы.","Zajednica kroz uzajamnost sama nosi funkcije koje su institucije pokušavale ispuniti — socijalnu sigurnost, zdravlje i njegu, obrazovanje, proizvodnju hrane, uzajamno financiranje i zajedničko odlučivanje — i ispunjava ih potpunije. Fondacija više nije središte sustava.","A közösség a kölcsönösség révén maga viseli azokat a funkciókat, amelyek korábban intézményektől függtek — szociális biztonság, egészség és gondoskodás, oktatás, élelmiszer-termelés, kölcsönös finanszírozás és közös döntéshozatal. Az alapítvány többé nem a rendszer központja."
"interfejs","oNama","oNama.otvaranje_naslov","KOLO je u otvorenoj fazi testiranja","KOLO is in open testing","КОЛО в открытой фазе тестирования","KOLO je u otvorenoj fazi testiranja","A KOLO nyílt tesztelési szakaszban van"
"interfejs","oNama","oNama.otvaranje_opis","Pre nego što sistem otvorimo javnosti u potpunosti, ceo tok proveravamo u praksi. Podaci uneti tokom testiranja su realni i stvarni, kao i svi korisnici.","Before we fully open the system to the public, we are testing the entire flow in practice. Data entered during testing is real and genuine, as are all users.","Прежде чем полностью открыть систему для всех, мы проверяем весь путь на практике. Данные, внесённые во время тестирования, реальны, как и все пользователи.","Prije nego što sustav otvorimo javnosti u potpunosti, cijeli tijek provjeravamo u praksi. Podaci uneseni tijekom testiranja realni su i stvarni, kao i svi korisnici.","Mielőtt a rendszert teljesen megnyitnánk a nyilvánosság előtt, a teljes folyamatot a gyakorlatban ellenőrizzük. A tesztelés során bevitt adatok valósak és valódiak, ahogyan minden felhasználó is."
"interfejs","oNama","oNama.stavka1_naslov","Šta proveravamo","What we are checking","Что мы проверяем","Što provjeravamo","Mit ellenőrzünk"
"interfejs","oNama","oNama.stavka1_tekst","Ceo tok kroz koji prolazi korisnik — registracija, potvrda stvarnosti kroz lanac, upis i prepis POEN-a, Pijaca, programi i donacije — proverava se u realnim uslovima.","The entire flow a user goes through — registration, confirmation through the chain of confirmations, recording and re-registration of POEN, the Marketplace, programmes and donations — is being tested under real conditions.","Весь путь, который проходит пользователь — регистрация, подтверждение цепью подтверждений, запись и переписывание ПОЕН, Рынок, программы и пожертвования — проверяется в реальных условиях.","Cijeli tijek kroz koji prolazi korisnik — registracija, potvrda lancem potvrda, upis i prepis POEN-a, Pijaca, programi i donacije — provjerava se u realnim uvjetima.","A felhasználó teljes útját — regisztráció, ellenőrzés a megerősítési láncon keresztül, POEN rögzítése és átírása, a Piac, a programok és az adományok — valós körülmények között teszteljük."
"interfejs","oNama","oNama.stavka2_naslov","Pouzdanost obračuna","Reliability of accounting","Надёжность расчётов","Pouzdanost obračuna","A könyvelés megbízhatósága"
"interfejs","oNama","oNama.stavka2_tekst","Proveravamo da svaki zapis stoji: zero-sum ravnotežu (zbir svih računa uvek nula), noćne obračune i evidenciju doprinosa. Cilj je da brojke budu tačne do poslednjeg POEN-a.","We confirm that every record holds: the zero-sum balance (the sum of all accounts is always zero), nightly settlements and the recording of contribution. The goal is for the figures to be accurate down to the last POEN.","Мы проверяем, что каждая запись верна: баланс нулевой суммы (сумма всех счетов всегда ноль), ночные расчёты и учёт вклада. Цель — чтобы цифры были точны до последнего ПОЕН.","Provjeravamo da svaki zapis stoji: zero-sum ravnotežu (zbroj svih računa uvijek je nula), noćne obračune i evidenciju doprinosa. Cilj je da brojke budu točne do posljednjeg POEN-a.","Ellenőrizzük, hogy minden bejegyzés helytálló: a zéróösszegű egyenleget (az összes számla összege mindig nulla), az éjszakai elszámolásokat és a hozzájárulás rögzítését. A cél, hogy a számok az utolsó POEN-ig pontosak legyenek."
"interfejs","oNama","oNama.stavka3_naslov","Otpornost na zloupotrebe","Resilience to misuse","Устойчивость к злоупотреблениям","Otpornost na zlouporabe","Ellenállás a visszaélésekkel szemben"
"interfejs","oNama","oNama.stavka3_tekst","Tražimo greške i moguće načine zloupotrebe dok je mreža još mala — da ih ispravimo pre nego što sistem otvorimo u potpunosti.","We look for bugs and possible ways to abuse the system while the network is still small — so we can fix them before we fully open the system.","Мы ищем ошибки и возможные способы злоупотребления, пока сеть ещё мала — чтобы исправить их до полного открытия системы.","Tražimo pogreške i moguće načine zlouporabe dok je mreža još malena — da ih ispravimo prije nego što sustav otvorimo u potpunosti.","Hibákat és a rendszerrel való visszaélés lehetséges módjait keressük, amíg a hálózat még kicsi — hogy kijavíthassuk őket, mielőtt a rendszert teljesen megnyitnánk."
"interfejs","oNama","oNama.stavka4_naslov","Stvarni podaci i korisnici","Real data and users","Реальные данные и пользователи","Stvarni podaci i korisnici","Valódi adatok és felhasználók"
"interfejs","oNama","oNama.stavka4_tekst","Podaci uneti tokom testiranja su realni i stvarni, kao i svi korisnici. Testiranje se odvija u stvarnim uslovima, sa stvarnim ljudima i stvarnom razmenom.","Data entered during testing is real and genuine, as are all users. Testing takes place under real conditions, with real people and real exchange.","Данные, внесённые во время тестирования, реальны, как и все пользователи. Тестирование идёт в реальных условиях, с реальными людьми и реальным обменом.","Podaci uneseni tijekom testiranja realni su i stvarni, kao i svi korisnici. Testiranje se odvija u stvarnim uvjetima, sa stvarnim ljudima i stvarnom razmjenom.","A tesztelés során bevitt adatok valósak és valódiak, ahogyan minden felhasználó is. A tesztelés valós körülmények között zajlik, valódi emberekkel és valódi cserével."
"interfejs","oNama","oNama.stavka5_naslov","Kada otvaramo","When we open","Когда откроем","Kada otvaramo","Mikor nyitunk"
"interfejs","oNama","oNama.stavka5_tekst","Kada platforma bude stabilna i ceo tok prođe bez grešaka, prelazimo u sledeću fazu — Kritična masa. Otvaranje ne zavisi od broja POEN-a; taj prag (Gornje Kolo) dolazi kasnije.","Once the platform is stable and the entire flow runs without errors, we move to the next phase — Critical mass. Opening does not depend on the number of POEN; that threshold (Gornje Kolo) comes later.","Когда платформа станет стабильной и весь путь пройдёт без ошибок, мы перейдём к следующему этапу — Критическая масса. Открытие не зависит от количества ПОЕН; этот порог (Верхнее Коло) наступает позже.","Kada platforma bude stabilna i cijeli tijek prođe bez pogrešaka, prelazimo u sljedeću fazu — Kritična masa. Otvaranje ne ovisi o broju POEN-a; taj prag (Gornje Kolo) dolazi kasnije.","Amint a platform stabil és a teljes folyamat hibátlanul lefut, a következő szakaszba lépünk — a Kritikus tömegbe. A megnyitás nem függ a POEN mennyiségétől; ez a küszöb (Gornje Kolo) később jön."
"interfejs","oNama","oNama.stavka6_naslov","Fondacija registrovana","Foundation registered","Фонд зарегистрирован","Fondacija registrirana","Az alapítvány bejegyezve"
"interfejs","oNama","oNama.stavka6_tekst","KOLO Fondacija je registrovana u Registru zadužbina i fondacija, sa sedištem u Somboru (Šetalište 16). Matični broj: 28836627 · PIB: 115840443.","KOLO Foundation is registered in the Register of Endowments and Foundations, headquartered in Sombor (Šetalište 16). Registration number: 28836627 · Tax ID (PIB): 115840443.","Фонд КОЛО зарегистрирован в Реестре задужбин и фондов, с местонахождением в Сомборе (Шеталиште 16). Регистрационный номер: 28836627 · PIB: 115840443.","KOLO Fondacija registrirana je u Registru zadužbina i fondacija, sa sjedištem u Somboru (Šetalište 16). Matični broj: 28836627 · PIB: 115840443.","A KOLO Alapítvány be van jegyezve az Alapítványok Nyilvántartásába, székhelye Zombor (Šetalište 16). Nyilvántartási szám: 28836627 · Adószám (PIB): 115840443."
"interfejs","oNama","oNama.cilj_tekst","Cilj ovih koraka je da testiramo sve komponente sistema kako bi sve bilo funkcionalno kada dostignemo kritičnu masu.","The goal of these steps is to test all components of the system so that everything is fully functional when we reach critical mass.","Цель этих шагов — протестировать все компоненты системы, чтобы всё работало, когда мы достигнем критической массы.","Cilj ovih koraka jest da testiramo sve komponente sustava kako bi sve bilo funkcionalno kada dostignemo kritičnu masu.","E lépések célja, hogy a rendszer minden összetevőjét teszteljük, hogy minden működőképes legyen, mire elérjük a kritikus tömeget."
"interfejs","oNama","oNama.ukljucivanje_tag","Kako se uključuješ","How you get involved","Как вы включаетесь","Kako se uključuješ","Hogyan csatlakozhatsz"
"interfejs","oNama","oNama.ukljucivanje_naslov","Sistem se gradi kroz različite oblike doprinosa","The system is built through different forms of contribution","Система строится через разные формы вклада","Sustav se gradi kroz različite oblike doprinosa","A rendszer különféle hozzájárulási formákon keresztül épül"
"interfejs","oNama","oNama.ukljucivanje_opis","Bilo da imaš pet minuta, znanje, sredstva ili poznanstvo — postoji način da pomogneš.","Whether you have five minutes, knowledge, resources or connections — there is a way to help.","Есть ли у вас пять минут, знания, средства или знакомство — способ помочь найдётся.","Bilo da imaš pet minuta, znanje, sredstva ili poznanstvo — postoji način da pomogneš.","Legyen szó öt percről, tudásról, erőforrásokról vagy kapcsolatokról — van mód a segítségre."
"interfejs","oNama","oNama.istaknut_naslov","Budi među prvima u svom kraju","Be among the first in your area","Будьте среди первых в своём краю","Budi među prvima u svom kraju","Légy az első a környékeden"
"interfejs","oNama","oNama.istaknut_tekst","Najvažniji doprinos ne traži ni firmu ni posebno znanje. Dovoljno je da se uključiš i pozoveš ljude koje poznaješ — komšije, prijatelje, rođake. Sve u jednom mestu počinje od nekoliko ljudi koji veruju jedni drugima. Ako želiš da KOLO zaživi tamo gde ti živiš, počni od sebe i ljudi oko tebe.","The most important contribution requires neither a company nor special expertise. All it takes is to get involved and invite people you know — neighbours, friends, relatives. Everything in one place starts with a few people who trust each other. If you want KOLO to come alive where you live, start with yourself and the people around you.","Самый важный вклад не требует ни фирмы, ни особых знаний. Достаточно включиться и позвать людей, которых вы знаете — соседей, друзей, родных. Всё в любом месте начинается с нескольких человек, доверяющих друг другу. Если вы хотите, чтобы КОЛО заработало там, где вы живёте, начните с себя и людей вокруг вас.","Najvažniji doprinos ne traži ni tvrtku ni posebno znanje. Dovoljno je da se uključiš i pozoveš ljude koje poznaješ — susjede, prijatelje, rođake. Sve u jednom mjestu počinje od nekoliko ljudi koji vjeruju jedni drugima. Ako želiš da KOLO zaživi tamo gdje ti živiš, počni od sebe i ljudi oko sebe.","A legfontosabb hozzájáruláshoz sem cégre, sem különleges szakértelemre nincs szükség. Elég bekapcsolódni és meghívni az ismerősöket — szomszédokat, barátokat, rokonokat. Minden egy helyen néhány egymást ismerő és egymásban bízó emberrel kezdődik. Ha szeretnéd, hogy a KOLO ott éljen, ahol te élsz, kezdd magadtól és a körülötted lévőktől."
"interfejs","oNama","oNama.istaknut_cta","Registruj se besplatno →","Register for free →","Зарегистрироваться бесплатно →","Registriraj se besplatno →","Regisztrálj ingyen →"
"interfejs","oNama","oNama.k1_naslov","Rani pristup i potvrda","Early access and confirmation","Ранний доступ и подтверждение","Rani pristup i potvrda","Korai hozzáférés és ellenőrzés"
"interfejs","oNama","oNama.k1_tekst","Ako želiš da znaš kad sistem bude otvoren — registruj se za rani pristup. Prvi redovni članovi postavljaju temelje zajednice, i njihov se rad u toj ranoj fazi posebno prepoznaje kroz operativni doprinos.","If you want to know when the system opens — register for early access. The first full members lay the foundations of the community, and their work in that early phase is specially recognised through operational contribution.","Если вы хотите узнать, когда система откроется — зарегистрируйтесь для раннего доступа. Первые действительные участники закладывают основы сообщества, и их работа на этом раннем этапе особо отмечается через операционный вклад.","Ako želiš znati kad sustav bude otvoren — registriraj se za rani pristup. Prvi redovni članovi postavljaju temelje zajednice, a njihov se rad u toj ranoj fazi posebno prepoznaje kroz operativni doprinos.","Ha tudni szeretnéd, mikor nyílik meg a rendszer — regisztrálj a korai hozzáférésre. Az első ellenőrzött felhasználók fektetik le a közösség alapjait, és munkájuk ebben a korai szakaszban különösen elismerésre kerül a Hozzájárulás-rögzítési Programon keresztül."
"interfejs","oNama","oNama.k1_cta","Registruj se besplatno →","Register for free →","Зарегистрироваться бесплатно →","Registriraj se besplatno →","Regisztrálj ingyen →"
"interfejs","oNama","oNama.k2_naslov","Postani pokrovitelj","Become a sponsor","Станьте покровителем","Postani pokrovitelj","Légy szponzor"
"interfejs","oNama","oNama.k2_tekst","Ako vodiš firmu ili imaš mogućnost da podržiš razvoj, tvoja donacija Fondaciji pokriva troškove održavanja platforme i rada sistema. Pokrovitelji su javno navedeni, a nivoi doprinosa su transparentno definisani u Pravilniku.","If you run a company or have the means to support development, your donation to the Foundation covers the cost of maintaining the platform and running the system. Sponsors are publicly listed, and contribution levels are transparently defined in the Rulebook.","Если вы ведёте фирму или можете поддержать развитие, ваше пожертвование Фонду покрывает расходы на содержание платформы и работу системы. Покровители указываются публично, а уровни вклада прозрачно определены в Правилах.","Ako vodiš tvrtku ili imaš mogućnost podržati razvoj, tvoja donacija Fondaciji pokriva troškove održavanja platforme i rada sustava. Pokrovitelji su javno navedeni, a razine doprinosa transparentno su definirane u Pravilniku.","Ha céget vezetsz, vagy lehetőséged van a fejlesztés támogatására, az Alapítványnak tett adományod fedezi a platform és a rendszer fenntartási költségeit. A szponzorok nyilvánosan szerepelnek, a hozzájárulási szinteket az Alapszabály átláthatóan rögzíti."
"interfejs","oNama","oNama.k2_cta","Piši nam → kontakt@ekolo.rs","Write to us → kontakt@ekolo.rs","Напишите нам → kontakt@ekolo.rs","Piši nam → kontakt@ekolo.rs","Írj nekünk → kontakt@ekolo.rs"
"interfejs","oNama","oNama.k3_naslov","Pomozi razvoju","Help with development","Помогите разработке","Pomozi razvoju","Segíts a fejlesztésben"
"interfejs","oNama","oNama.k3_tekst","Ako si programer, dizajner ili radiš u nekoj drugoj IT oblasti i možeš da pomogneš razvoju platforme — javi se.","If you are a developer, designer or work in another IT field and can help with platform development — get in touch.","Если вы программист, дизайнер или работаете в другой ИТ-области и можете помочь разработке платформы — напишите.","Ako si programer, dizajner ili radiš u nekom drugom IT području i možeš pomoći razvoju platforme — javi se.","Ha fejlesztő, tervező vagy más IT-területen dolgozol, és segíthetsz a platform fejlesztésében — jelentkezz."
"interfejs","oNama","oNama.k3_cta","Piši nam → kontakt@ekolo.rs","Write to us → kontakt@ekolo.rs","Напишите нам → kontakt@ekolo.rs","Piši nam → kontakt@ekolo.rs","Írj nekünk → kontakt@ekolo.rs"
"interfejs","oNama","oNama.sek_tag","Specifične ekspertize i drugi oblici","Specific expertise and other forms","Специальные компетенции и другие формы","Specifične ekspertize i drugi oblici","Speciális szakterületek és egyéb formák"
"interfejs","oNama","oNama.sek1_naslov","Komunikacija i sadržaj","Communication and content","Коммуникация и содержание","Komunikacija i sadržaj","Kommunikáció és tartalom"
"interfejs","oNama","oNama.sek1_tekst","Pisci, novinari, urednici, video-producenti, dizajneri. Posebna potreba: ljudi koji mogu da prevedu složene koncepte u jasan jezik za različite publike (poljoprivrednici, penzioneri, mladi).","Writers, journalists, editors, video producers, designers. Special need: people who can translate complex concepts into plain language for different audiences (farmers, pensioners, young people).","Авторы, журналисты, редакторы, видеопродюсеры, дизайнеры. Особая потребность: люди, способные перевести сложные понятия на ясный язык для разных аудиторий (фермеры, пенсионеры, молодёжь).","Pisci, novinari, urednici, video-producenti, dizajneri. Posebna potreba: ljudi koji mogu prevesti složene koncepte u jasan jezik za različite publike (poljoprivrednici, umirovljenici, mladi).","Írók, újságírók, szerkesztők, videokészítők, tervezők. Különös igény: emberek, akik képesek összetett fogalmakat közérthető nyelvre fordítani különböző célközönségek számára (gazdálkodók, nyugdíjasok, fiatalok)."
"interfejs","oNama","oNama.sek2_naslov","Medijski i akademski kontakti","Media and academic contacts","Медийные и академические контакты","Medijski i akademski kontakti","Médiai és akadémiai kapcsolatok"
"interfejs","oNama","oNama.sek2_tekst","Novinari koji bi pisali o sistemu, urednici otvoreni za teme komplementarnih ekonomija, akademici (ekonomisti, pravnici, sociolozi, antropolozi). Kritika iznutra jača sistem koliko i podrška.","Journalists who would write about the system, editors open to complementary economy topics, academics (economists, lawyers, sociologists, anthropologists). Criticism from within strengthens the system as much as support does.","Журналисты, которые писали бы о системе, редакторы, открытые к темам дополнительных экономик, учёные (экономисты, юристы, социологи, антропологи). Критика изнутри укрепляет систему не меньше поддержки.","Novinari koji bi pisali o sustavu, urednici otvoreni za teme komplementarnih ekonomija, akademici (ekonomisti, pravnici, sociolozi, antropolozi). Kritika iznutra jača sustav koliko i podrška.","Újságírók, akik írnának a rendszerről, szerkesztők, akik nyitottak a kiegészítő gazdaság témáira, akadémikusok (közgazdászok, jogászok, szociológusok, antropológusok). A belülről jövő kritika ugyanannyit erősít a rendszeren, mint a támogatás."
"interfejs","oNama","oNama.sek3_naslov","Upravljanje i operativa","Management and operations","Управление и операционная работа","Upravljanje i operativa","Irányítás és működés"
"interfejs","oNama","oNama.sek3_tekst","Iskustvo u vođenju preduzeća, NVO ili većih organizacija. Fondaciji je potrebno operativno upravljanje, koordinacija između Upravnog odbora i izvršnih funkcija, izgradnja unutrašnjih procesa.","Experience running businesses, NGOs or larger organisations. The Foundation needs operational management, coordination between the Board and executive functions, and building internal processes.","Опыт руководства предприятием, НКО или крупными организациями. Фонду нужны операционное управление, координация между Правлением и исполнительными функциями, выстраивание внутренних процессов.","Iskustvo u vođenju poduzeća, nevladinih organizacija ili većih organizacija. Fondaciji je potrebno operativno upravljanje, koordinacija između Upravnog odbora i izvršnih funkcija, izgradnja unutarnjih procesa.","Tapasztalat vállalkozás, civil szervezet vagy nagyobb szervezet vezetésében. Az Alapítványnak operatív irányításra, az Igazgatótanács és a végrehajtói funkciók közötti koordinációra, belső folyamatok kiépítésére van szüksége."
"interfejs","oNama","oNama.sek4_naslov","Pravna i računovodstvena ekspertiza","Legal and accounting expertise","Юридическая и бухгалтерская экспертиза","Pravna i računovodstvena ekspertiza","Jogi és számviteli szakértelem"
"interfejs","oNama","oNama.sek4_tekst","Pravnici sa interesom za zadružno pravo, fondacijsko pravo i pitanja digitalnih platformi, kao i računovođe sa iskustvom u neprofitnom sektoru.","Lawyers with an interest in cooperative law, foundation law and digital platform issues, as well as accountants with experience in the non-profit sector.","Юристы с интересом к кооперативному праву, праву фондов и вопросам цифровых платформ, а также бухгалтеры с опытом в некоммерческом секторе.","Pravnici sa zanimanjem za zadružno pravo, fondacijsko pravo i pitanja digitalnih platformi, kao i računovođe s iskustvom u neprofitnom sektoru.","Szövetkezeti joggal, alapítványi joggal és digitális platformok kérdéseivel foglalkozó jogászok, valamint nonprofit szektorban tapasztalt könyvelők."
"interfejs","oNama","oNama.sek5_naslov","Strukovne i institucionalne veze","Professional and institutional connections","Отраслевые и институциональные связи","Strukovne i institucionalne veze","Szakmai és intézményi kapcsolatok"
"interfejs","oNama","oNama.sek5_tekst","Kontakti u zadrugarstvu, asocijacijama proizvođača, sindikatima, civilnom sektoru, lokalnim samoupravama — sve to ubrzava širenje sistema u zajednicama gde ima najviše smisla.","Contacts in cooperatives, producer associations, trade unions, civil society, local governments — all of this accelerates the spread of the system into communities where it makes the most sense.","Контакты в кооперативном движении, ассоциациях производителей, профсоюзах, гражданском секторе, местном самоуправлении — всё это ускоряет распространение системы в сообществах, где она наиболее уместна.","Kontakti u zadrugarstvu, udruženjima proizvođača, sindikatima, civilnom sektoru, lokalnim samoupravama — sve to ubrzava širenje sustava u zajednicama gdje ima najviše smisla.","Kapcsolatok szövetkezetekben, termelői szövetségekben, szakszervezetekben, civil szférában, helyi önkormányzatokban — mindez felgyorsítja a rendszer terjedését azokban a közösségekben, ahol a legtöbb értelme van."
"interfejs","oNama","oNama.sek6_naslov","Prostor i događaji","Space and events","Помещения и мероприятия","Prostor i događanja","Helyszín és rendezvények"
"interfejs","oNama","oNama.sek6_tekst","Ako možeš da obezbediš prostor za tribinu, prezentaciju ili manji skup u svom gradu — Sombor i okolina su prvi na redu, ali svaki grad u Srbiji i regionu je dobrodošao.","If you can provide a venue for a talk, presentation or small gathering in your city — Sombor and the surrounding area are first in line, but every city in Serbia and the region is welcome.","Если вы можете предоставить помещение для встречи, презентации или небольшого собрания в своём городе — Сомбор и окрестности первые на очереди, но каждый город в Сербии и регионе желанен.","Ako možeš osigurati prostor za tribinu, prezentaciju ili manji skup u svom gradu — Sombor i okolica su prvi na redu, ali svaki grad u Srbiji i regiji je dobrodošao.","Ha biztosítani tudsz helyszínt egy előadáshoz, bemutatóhoz vagy kisebb találkozóhoz a városodban — Sombor és környéke az első a sorban, de Szerbia és a régió minden városa szívesen látott."
"interfejs","oNama","oNama.sek7_naslov","Lična donacija","Personal donation","Личное пожертвование","Osobna donacija","Személyes adomány"
"interfejs","oNama","oNama.sek7_tekst","Ako nemaš firmu ali želiš da podržiš sistem, i fizička lica mogu biti donatori — taj se doprinos beleži na poseban način, definisan Pravilnikom.","If you don't have a company but want to support the system, individuals can be donors too — that contribution is recorded in a special way defined by the Rulebook.","Если у вас нет фирмы, но вы хотите поддержать систему, жертвователями могут быть и физические лица — такой вклад учитывается особым образом, определённым Правилами.","Ako nemaš tvrtku, ali želiš podržati sustav, i fizičke osobe mogu biti donatori — taj se doprinos bilježi na poseban način, definiran Pravilnikom.","Ha nincs céged, de támogatni szeretnéd a rendszert, magánszemélyek is lehetnek adományozók — ez a hozzájárulás az Alapszabály által meghatározott különleges módon kerül rögzítésre."
"interfejs","oNama","oNama.sek8_naslov","Ostali oblici doprinosa","Other forms of contribution","Другие формы вклада","Ostali oblici doprinosa","Egyéb hozzájárulási formák"
"interfejs","oNama","oNama.sek8_tekst","Sistem se gradi i kroz oblike doprinosa koji još nisu predviđeni. Ako vidiš način da pomogneš koji nije gore — javi se, razgovaraćemo.","The system is also built through forms of contribution not yet foreseen. If you see a way to help not listed above — get in touch, we will talk.","Система строится и через формы вклада, которые пока не предусмотрены. Если вы видите способ помочь, которого нет выше — напишите, обсудим.","Sustav se gradi i kroz oblike doprinosa koji još nisu predviđeni. Ako vidiš način da pomogneš koji nije naveden gore — javi se, razgovarat ćemo.","A rendszer olyan hozzájárulási formákon keresztül is épül, amelyek még nem szerepelnek a listán. Ha látod, hogyan segíthetnél, ami fent nem szerepel — jelkezz, beszélünk."
"interfejs","oNama","oNama.kontakt_tekst","Za sva pitanja, pišite na","For all enquiries, write to","По всем вопросам пишите на","Za sva pitanja pišite na","Minden kérdéssel fordulj hozzánk:"
"interfejs","oNama","oNama.fondacija_tag","Fondacija","Foundation","Фонд","Fondacija","Alapítvány"
"interfejs","oNama","oNama.fondacija_naslov","KOLO Fondacija","KOLO Foundation","Фонд КОЛО","KOLO Fondacija","KOLO Alapítvány"
"interfejs","oNama","oNama.stub1_tekst","Fondacija je pravni instrument sistema — pravno lice koje prima donacije i sponzorstva u robi, uslugama i novcu. Ona pokriva operativne troškove platforme, drži infrastrukturu i zastupa KOLO pred zajednicom i državom.","The Foundation is the legal instrument of the system — a legal entity that receives donations and sponsorships in goods, services and money. It covers the operational costs of the platform, maintains the infrastructure and represents KOLO before the community and the state.","Фонд — правовой инструмент системы: юридическое лицо, которое принимает пожертвования и спонсорство товарами, услугами и деньгами. Он покрывает операционные расходы платформы, содержит инфраструктуру и представляет КОЛО перед сообществом и государством.","Fondacija je pravni instrument sustava — pravna osoba koja prima donacije i sponzorstva u robi, uslugama i novcu. Ona pokriva operativne troškove platforme, drži infrastrukturu i zastupa KOLO pred zajednicom i državom.","Az Alapítvány a rendszer jogi eszköze — olyan jogi személy, amely áruban, szolgáltatásban és pénzben fogad el adományokat és szponzorációkat. Fedezi a platform működési költségeit, fenntartja az infrastruktúrát és képviseli a KOLO-t a közösség és az állam előtt."
"interfejs","oNama","oNama.stub2_naslov","Sedište i registracija","Headquarters and registration","Местонахождение и регистрация","Sjedište i registracija","Székhely és bejegyzés"
"interfejs","oNama","oNama.stub2_tekst","KOLO Fondacija je registrovana u Registru zadužbina i fondacija pri Agenciji za privredne registre, sa sedištem u Somboru (Šetalište 16). Matični broj: 28836627 · PIB: 115840443.","KOLO Foundation is registered in the Register of Endowments and Foundations kept by the Serbian Business Registers Agency, headquartered in Sombor (Šetalište 16). Registration number: 28836627 · Tax ID (PIB): 115840443.","Фонд КОЛО зарегистрирован в Реестре задужбин и фондов при Агентстве хозяйственных реестров, с местонахождением в Сомборе (Шеталиште 16). Регистрационный номер: 28836627 · PIB: 115840443.","KOLO Fondacija registrirana je u Registru zadužbina i fondacija pri Agenciji za privredne registre, sa sjedištem u Somboru (Šetalište 16). Matični broj: 28836627 · PIB: 115840443.","A KOLO Alapítvány be van jegyezve a Gazdasági Nyilvántartási Ügynökség által vezetett Alapítványok Nyilvántartásába, székhelye Zombor (Šetalište 16). Nyilvántartási szám: 28836627 · Adószám (PIB): 115840443."
"interfejs","oNama","oNama.stub3_naslov","Organi","Governance bodies","Органы","Tijela","Irányítási szervek"
"interfejs","oNama","oNama.stub3_tekst","Upravni odbor i Direktor. Upravni odbor donosi strateške odluke. Direktor vodi operativu. Aktivacijom Gornjeg Kola Fondacija prelazi u servisnu i izvršnu ulogu — primenjuje odluke i upućuje obrazložene odgovore na preporuke Gornjeg Kola.","Board of Directors and Director. The Board makes strategic decisions. The Director manages operations. Upon activation of the Upper Kolo, the Foundation transitions to a service and executive role — implementing decisions and providing reasoned responses to Upper Kolo recommendations.","Правление и Директор. Правление принимает стратегические решения. Директор ведёт операционную работу. С активацией Верхнего Коло Фонд переходит к сервисной и исполнительной роли — применяет решения и направляет обоснованные ответы на рекомендации Верхнего Коло.","Upravni odbor i Direktor. Upravni odbor donosi strateške odluke. Direktor vodi operativu. Aktivacijom Gornjeg Kola Fondacija prelazi u servisnu i izvršnu ulogu — primjenjuje odluke i upućuje obrazložene odgovore na preporuke Gornjeg Kola.","Igazgatótanács és Igazgató. Az Igazgatótanács stratégiai döntéseket hoz. Az Igazgató az operatív irányítást végzi. A Felső Kolo aktiválásával az Alapítvány szolgáltatói és végrehajtói szerepbe lép — végrehajtja a döntéseket és indokolt válaszokat ad a Felső Kolo ajánlásaira."
"interfejs","oNama","oNama.javno_tag","Javno i dostupno","Public and available","Публично и доступно","Javno i dostupno","Nyilvános és elérhető"
"interfejs","oNama","oNama.dok_tag","Dokumenti (v4.1)","Documents (v4.1)","Документы (v4.1)","Dokumenti (v4.1)","Dokumentumok (v4.1)"
"interfejs","oNama","oNama.dok_whitepaper","Whitepaper","Whitepaper","Whitepaper","Whitepaper","Fehér könyv"
"interfejs","oNama","oNama.dok_statut","Statut KOLO Fondacije","KOLO Foundation Statute","Устав Фонда КОЛО","Statut KOLO Fondacije","KOLO Alapítvány Alapszabálya"
"interfejs","oNama","oNama.dok_pravilnik_kolo","Pravilnik o KOLO sistemu","Rulebook on the KOLO System","Правила системы КОЛО","Pravilnik o KOLO sustavu","KOLO rendszer szabályzata"
"interfejs","oNama","oNama.dok_posebni_pravilnici","Posebni pravilnici","Special rulebooks","Специальные правила","Posebni pravilnici","Különös szabályzatok"
"interfejs","oNama","oNama.dok_posebni_broj","7 dokumenata","7 documents","7 документов","7 dokumenata","5 dokumentum"
"interfejs","oNama","oNama.dok_pravilnik_hijerarhija","Pravilnik o hijerarhiji akata","Rulebook on the hierarchy of acts","Правила иерархии актов","Pravilnik o hijerarhiji akata","Az akták hierarchiájáról szóló szabályzat"
"interfejs","oNama","oNama.dok_pravilnik_dokaz","Pravilnik o dokazu stvarnosti","Rulebook on proof of reality","Правила о доказательстве реальности","Pravilnik o dokazu stvarnosti","A valóságigazolásról szóló szabályzat"
